edge_type_id dynamics_params model_template syn_weight distance_range target_sections delay target_model_id target_label source_label nsyns
7066 AMPA_ExcToExc.json exp2syn 1.08903824855e-05 "[0.0, 150.0]" "[""basal"", ""apical""]" 1.7 471129934 biophysical BKG 24
7067 AMPA_ExcToExc.json exp2syn 3.11851881082e-06 "[0.0, 150.0]" "[""basal"", ""apical""]" 1.7 471143169 biophysical BKG 23
7068 AMPA_ExcToExc.json exp2syn 4.3969421778599995e-06 "[0.0, 150.0]" "[""basal"", ""apical""]" 1.7 471758398 biophysical BKG 23
7069 AMPA_ExcToExc.json exp2syn 3.43091177078e-06 "[0.0, 150.0]" "[""basal"", ""apical""]" 1.7 471767045 biophysical BKG 23
7070 AMPA_ExcToExc.json exp2syn 1.28540355656e-05 "[0.0, 150.0]" "[""basal"", ""apical""]" 1.7 485574832 biophysical BKG 20
7071 AMPA_ExcToExc.json exp2syn 3.5964928358800005e-06 "[0.0, 150.0]" "[""basal"", ""apical""]" 1.7 485835055 biophysical BKG 23
7072 AMPA_ExcToExc.json exp2syn 2.8060342949799998e-06 "[0.0, 150.0]" "[""basal"", ""apical""]" 1.7 485880739 biophysical BKG 25
7073 AMPA_ExcToExc.json exp2syn 2.1996382948799998e-06 "[0.0, 150.0]" "[""basal"", ""apical""]" 1.7 486052980 biophysical BKG 21
7074 AMPA_ExcToExc.json exp2syn 3.7685220269800002e-06 "[0.0, 150.0]" "[""basal"", ""apical""]" 1.7 486110216 biophysical BKG 11
7075 AMPA_ExcToExc.json exp2syn 1.25591206244e-06 "[0.0, 150.0]" "[""basal"", ""apical""]" 1.7 487664663 biophysical BKG 25
7076 AMPA_ExcToExc.json exp2syn 0.0006025849113659999 "[0.0, 150.0]" "[""basal"", ""apical""]" 1.7 485912047 biophysical BKG 10
7077 AMPA_ExcToExc.json exp2syn 4.09204006474e-06 "[0.0, 150.0]" "[""basal"", ""apical""]" 1.7 487661754 biophysical BKG 19
7078 AMPA_ExcToInh.json exp2syn 8.605979290700001e-05 "[0.0, 1e+20]" "[""somatic"", ""basal""]" 1.7 321708130 biophysical BKG 12
7079 AMPA_ExcToInh.json exp2syn 0.000114966148259 "[0.0, 1e+20]" "[""somatic"", ""basal""]" 1.7 466245544 biophysical BKG 10
7080 AMPA_ExcToInh.json exp2syn 2.06960887089e-05 "[0.0, 1e+20]" "[""somatic"", ""basal""]" 1.7 471087830 biophysical BKG 8
7081 AMPA_ExcToInh.json exp2syn 0.00012006742058899999 "[0.0, 1e+20]" "[""somatic"", ""basal""]" 1.7 475888653 biophysical BKG 10
7082 AMPA_ExcToInh.json exp2syn 4.10580800351e-05 "[0.0, 1e+20]" "[""somatic"", ""basal""]" 1.7 478058328 biophysical BKG 8
7083 AMPA_ExcToInh.json exp2syn 6.27441422864e-05 "[0.0, 1e+20]" "[""somatic"", ""basal""]" 1.7 478828646 biophysical BKG 7
7084 AMPA_ExcToExc.json exp2syn 0.00014796309583700002 "[0.0, 150.0]" "[""basal"", ""apical""]" 1.7 313862022 biophysical BKG 10
7085 AMPA_ExcToExc.json exp2syn 2.3732344940199999e-07 "[0.0, 150.0]" "[""basal"", ""apical""]" 1.7 314900022 biophysical BKG 9
7086 AMPA_ExcToExc.json exp2syn 0.00010460466117399999 "[0.0, 150.0]" "[""basal"", ""apical""]" 1.7 320668879 biophysical BKG 10
7087 AMPA_ExcToExc.json exp2syn 0.000102697275052 "[0.0, 150.0]" "[""basal"", ""apical""]" 1.7 324521027 biophysical BKG 10
7088 AMPA_ExcToExc.json exp2syn 4.54803634403e-06 "[0.0, 150.0]" "[""basal"", ""apical""]" 1.7 348592897 biophysical BKG 15
7089 AMPA_ExcToExc.json exp2syn 1.6157472386799998e-06 "[0.0, 150.0]" "[""basal"", ""apical""]" 1.7 395830185 biophysical BKG 17
7090 AMPA_ExcToExc.json exp2syn 2.6050663404899997e-07 "[0.0, 150.0]" "[""basal"", ""apical""]" 1.7 469798159 biophysical BKG 15
7091 AMPA_ExcToExc.json exp2syn 1.08226473958e-06 "[0.0, 150.0]" "[""basal"", ""apical""]" 1.7 476126528 biophysical BKG 15
7092 AMPA_ExcToExc.json exp2syn 2.16726862738e-06 "[0.0, 150.0]" "[""basal"", ""apical""]" 1.7 476218657 biophysical BKG 17
7093 AMPA_ExcToInh.json exp2syn 0.000411199213436 "[0.0, 1e+20]" "[""somatic"", ""basal""]" 1.7 341442651 biophysical BKG 13
7094 AMPA_ExcToInh.json exp2syn 0.000124348268762 "[0.0, 1e+20]" "[""somatic"", ""basal""]" 1.7 471077468 biophysical BKG 10
7095 AMPA_ExcToInh.json exp2syn 8.63589187888e-05 "[0.0, 1e+20]" "[""somatic"", ""basal""]" 1.7 484635029 biophysical BKG 9
7096 AMPA_ExcToInh.json exp2syn 0.0006396414745800001 "[0.0, 1e+20]" "[""somatic"", ""basal""]" 1.7 488501071 biophysical BKG 10
7097 AMPA_ExcToExc.json exp2syn 2.88072552644e-06 "[0.0, 150.0]" "[""basal"", ""apical""]" 1.7 477135941 biophysical BKG 10
7098 AMPA_ExcToExc.json exp2syn 1.08544702847e-05 "[0.0, 150.0]" "[""basal"", ""apical""]" 1.7 483061182 biophysical BKG 16
7099 AMPA_ExcToExc.json exp2syn 0.00041795757262699996 "[0.0, 150.0]" "[""basal"", ""apical""]" 1.7 485574721 biophysical BKG 10
7100 AMPA_ExcToExc.json exp2syn 3.56875366198e-06 "[0.0, 150.0]" "[""basal"", ""apical""]" 1.7 485909730 biophysical BKG 16
7101 AMPA_ExcToExc.json exp2syn 4.49498536936e-06 "[0.0, 150.0]" "[""basal"", ""apical""]" 1.7 486146717 biophysical BKG 17
7102 AMPA_ExcToExc.json exp2syn 7.51385109719e-06 "[0.0, 150.0]" "[""basal"", ""apical""]" 1.7 487601493 biophysical BKG 17
7103 AMPA_ExcToInh.json exp2syn 8.47346785379e-10 "[0.0, 1e+20]" "[""somatic"", ""basal""]" 1.7 313861608 biophysical BKG 17
7104 AMPA_ExcToInh.json exp2syn 1.7484873836199999e-10 "[0.0, 1e+20]" "[""somatic"", ""basal""]" 1.7 321023397 biophysical BKG 8
7105 AMPA_ExcToInh.json exp2syn 4.6061197338199996e-10 "[0.0, 1e+20]" "[""somatic"", ""basal""]" 1.7 330080937 biophysical BKG 10
7106 AMPA_ExcToInh.json exp2syn 1.01433569258e-09 "[0.0, 1e+20]" "[""somatic"", ""basal""]" 1.7 333785962 biophysical BKG 11
7107 AMPA_ExcToInh.json exp2syn 1.3963791926e-10 "[0.0, 1e+20]" "[""somatic"", ""basal""]" 1.7 396608557 biophysical BKG 11
7108 AMPA_ExcToInh.json exp2syn 3.7093520011599994e-11 "[0.0, 1e+20]" "[""somatic"", ""basal""]" 1.7 469610831 biophysical BKG 11
7109 AMPA_ExcToInh.json exp2syn 5.931771095459998e-10 "[0.0, 1e+20]" "[""somatic"", ""basal""]" 1.7 471077857 biophysical BKG 8
7110 AMPA_ExcToInh.json exp2syn 8.13389673429e-12 "[0.0, 1e+20]" "[""somatic"", ""basal""]" 1.7 471085676 biophysical BKG 11
7111 AMPA_ExcToInh.json exp2syn 1.22243297143e-10 "[0.0, 1e+20]" "[""somatic"", ""basal""]" 1.7 478793814 biophysical BKG 5
7112 AMPA_ExcToInh.json exp2syn 8.905354866010001e-10 "[0.0, 1e+20]" "[""somatic"", ""basal""]" 1.7 482516713 biophysical BKG 10
